,protoform,DoT
42,"Among all infexp_medium records, most are BN_low",0.19149807798358012
43,"Among all infexp_medium records, most are BN_medium",0.09258795268902319
44,"Among all infexp_medium records, most are BN_high",0.32711254209341706
45,"Among all infexp_high records, most are trans_low",0.5124853619893918
46,"Among all infexp_high records, most are trans_medium",0.0
47,"Among all infexp_high records, most are trans_high",0.09393666538737842
48,"Among all infexp_high records, most are BN_low",0.2159178524619142
49,"Among all infexp_high records, most are BN_medium",0.0
50,"Among all infexp_high records, most are BN_high",0.19800169039624188
51,"Among all BN_low records, most are trans_low",0.2712843080501469
52,"Among all BN_low records, most are trans_medium",0.0
53,"Among all BN_low records, most are trans_high",0.12595101097812908
54,"Among all BN_low records, most are infexp_low",0.27724473778668157
55,"Among all BN_low records, most are infexp_medium",0.0
56,"Among all BN_low records, most are infexp_high",0.14848115562213646
57,"Among all BN_medium records, most are trans_low",0.18178583156296976
58,"Among all BN_medium records, most are trans_medium",0.0
59,"Among all BN_medium records, most are trans_high",0.20018201092922797
60,"Among all BN_medium records, most are infexp_low",0.18665494743926123
61,"Among all BN_medium records, most are infexp_medium",0.16802969636704138
62,"Among all BN_medium records, most are infexp_high",0.2895811040696385
63,"Among all BN_high records, most are trans_low",0.2604903126549466
64,"Among all BN_high records, most are trans_medium",0.0
65,"Among all BN_high records, most are trans_high",0.16195717424564118
66,"Among all BN_high records, most are infexp_low",0.19650695936178508
67,"Among all BN_high records, most are infexp_medium",0.04340926977362076
68,"Among all BN_high records, most are infexp_high",0.1689746716809518
69,"Among all trans_low records, most are infexp_low and BN_low",0.0
70,"Among all trans_low records, most are infexp_low and BN_medium",0.0
71,"Among all trans_low records, most are infexp_low and BN_high",0.0
72,"Among all trans_medium records, most are infexp_low and BN_low",0.0
73,"Among all trans_medium records, most are infexp_low and BN_medium",0.0
74,"Among all trans_medium records, most are infexp_low and BN_high",0.0
75,"Among all trans_high records, most are infexp_low and BN_low",0.0
76,"Among all trans_high records, most are infexp_low and BN_medium",0.0
77,"Among all trans_high records, most are infexp_low and BN_high",0.0
78,"Among all trans_low records, most are infexp_medium and BN_low",0.0
79,"Among all trans_low records, most are infexp_medium and BN_medium",0.0
80,"Among all trans_low records, most are infexp_medium and BN_high",0.0
81,"Among all trans_medium records, most are infexp_medium and BN_low",0.0
82,"Among all trans_medium records, most are infexp_medium and BN_medium",0.0
83,"Among all trans_medium records, most are infexp_medium and BN_high",0.0
84,"Among all trans_high records, most are infexp_medium and BN_low",0.0
85,"Among all trans_high records, most are infexp_medium and BN_medium",0.0
86,"Among all trans_high records, most are infexp_medium and BN_high",0.0
87,"Among all trans_low records, most are infexp_high and BN_low",0.0
88,"Among all trans_low records, most are infexp_high and BN_medium",0.0
89,"Among all trans_low records, most are infexp_high and BN_high",0.0
90,"Among all trans_medium records, most are infexp_high and BN_low",0.0
91,"Among all trans_medium records, most are infexp_high and BN_medium",0.0
92,"Among all trans_medium records, most are infexp_high and BN_high",0.0
93,"Among all trans_high records, most are infexp_high and BN_low",0.0
94,"Among all trans_high records, most are infexp_high and BN_medium",0.0
95,"Among all trans_high records, most are infexp_high and BN_high",0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
0,"Among all records, minority are infexp_low",0.6452617506760248
1,"Among all records, minority are trans_low",0.5162473794549266
2,"Among all records, minority are BN_low",0.585053794724141
3,"Among all records, minority are BN_low and infexp_low",1.0
4,"Among all records, minority are trans_low and infexp_low",1.0
5,"Among all records, minority are infexp_medium",1.0
6,"Among all records, minority are trans_medium",1.0
7,"Among all records, minority are BN_medium",1.0
8,"Among all records, minority are BN_medium and infexp_medium",1.0
9,"Among all records, minority are trans_medium and infexp_medium",1.0
10,"Among all records, minority are infexp_high",0.7187480280179217
11,"Among all records, minority are trans_high",0.6865828092243187
12,"Among all records, minority are BN_high",0.6624848513268866
13,"Among all records, minority are BN_high and infexp_high",1.0
14,"Among all records, minority are trans_high and infexp_high",1.0
15,"Among all trans_low records, minority are infexp_low",1.0
16,"Among all trans_low records, minority are infexp_medium",1.0
17,"Among all trans_low records, minority are infexp_high",0.23277724515447823
18,"Among all trans_low records, minority are BN_low",0.5282778306591038
19,"Among all trans_low records, minority are BN_medium",1.0
20,"Among all trans_low records, minority are BN_high",0.6280012055326669
21,"Among all trans_medium records, minority are infexp_low",1.0
22,"Among all trans_medium records, minority are infexp_medium",0.2130642348033654
23,"Among all trans_medium records, minority are infexp_high",0.8575883575883574
24,"Among all trans_medium records, minority are BN_low",0.4293770845932665
25,"Among all trans_medium records, minority are BN_medium",1.0
26,"Among all trans_medium records, minority are BN_high",0.7908148729441737
27,"Among all trans_high records, minority are infexp_low",0.37928290190165026
28,"Among all trans_high records, minority are infexp_medium",1.0
29,"Among all trans_high records, minority are infexp_high",0.8420650723993273
30,"Among all trans_high records, minority are BN_low",0.6500130548970695
31,"Among all trans_high records, minority are BN_medium",1.0
32,"Among all trans_high records, minority are BN_high",0.6518482000264889
33,"Among all infexp_low records, minority are trans_low",0.919301335080678
34,"Among all infexp_low records, minority are trans_medium",1.0
35,"Among all infexp_low records, minority are trans_high",0.42652960930461115
36,"Among all infexp_low records, minority are BN_low",0.37881830416643836
37,"Among all infexp_low records, minority are BN_medium",1.0
38,"Among all infexp_low records, minority are BN_high",0.6245646098194966
39,"Among all infexp_medium records, minority are trans_low",0.6477900135115883
40,"Among all infexp_medium records, minority are trans_medium",1.0
41,"Among all infexp_medium records, minority are trans_high",0.8636732526667039
42,"Among all infexp_medium records, minority are BN_low",0.6170038440328398
43,"Among all infexp_medium records, minority are BN_medium",0.8148240946219536
44,"Among all infexp_medium records, minority are BN_high",0.34577491581316594
45,"Among all infexp_high records, minority are trans_low",0.0
46,"Among all infexp_high records, minority are trans_medium",1.0
47,"Among all infexp_high records, minority are trans_high",0.8121266692252431
48,"Among all infexp_high records, minority are BN_low",0.5681642950761717
49,"Among all infexp_high records, minority are BN_medium",1.0
50,"Among all infexp_high records, minority are BN_high",0.6039966192075163
51,"Among all BN_low records, minority are trans_low",0.4574313838997063
52,"Among all BN_low records, minority are trans_medium",1.0
53,"Among all BN_low records, minority are trans_high",0.7480979780437418
54,"Among all BN_low records, minority are infexp_low",0.4455105244266369
55,"Among all BN_low records, minority are infexp_medium",1.0
56,"Among all BN_low records, minority are infexp_high",0.7030376887557271
57,"Among all BN_medium records, minority are trans_low",0.6364283368740606
58,"Among all BN_medium records, minority are trans_medium",1.0
59,"Among all BN_medium records, minority are trans_high",0.5996359781415441
60,"Among all BN_medium records, minority are infexp_low",0.6266901051214777
61,"Among all BN_medium records, minority are infexp_medium",0.6639406072659173
62,"Among all BN_medium records, minority are infexp_high",0.4208377918607231
63,"Among all BN_high records, minority are trans_low",0.47901937469010697
64,"Among all BN_high records, minority are trans_medium",1.0
65,"Among all BN_high records, minority are trans_high",0.6760856515087177
66,"Among all BN_high records, minority are infexp_low",0.60698608127643
67,"Among all BN_high records, minority are infexp_medium",0.9131814604527585
68,"Among all BN_high records, minority are infexp_high",0.6620506566380966
69,"Among all trans_low records, minority are infexp_low and BN_low",1.0
70,"Among all trans_low records, minority are infexp_low and BN_medium",1.0
71,"Among all trans_low records, minority are infexp_low and BN_high",1.0
72,"Among all trans_medium records, minority are infexp_low and BN_low",1.0
73,"Among all trans_medium records, minority are infexp_low and BN_medium",1.0
74,"Among all trans_medium records, minority are infexp_low and BN_high",1.0
75,"Among all trans_high records, minority are infexp_low and BN_low",1.0
76,"Among all trans_high records, minority are infexp_low and BN_medium",1.0
77,"Among all trans_high records, minority are infexp_low and BN_high",1.0
78,"Among all trans_low records, minority are infexp_medium and BN_low",1.0
79,"Among all trans_low records, minority are infexp_medium and BN_medium",1.0
80,"Among all trans_low records, minority are infexp_medium and BN_high",1.0
81,"Among all trans_medium records, minority are infexp_medium and BN_low",1.0
82,"Among all trans_medium records, minority are infexp_medium and BN_medium",1.0
83,"Among all trans_medium records, minority are infexp_medium and BN_high",1.0
84,"Among all trans_high records, minority are infexp_medium and BN_low",1.0
85,"Among all trans_high records, minority are infexp_medium and BN_medium",1.0
86,"Among all trans_high records, minority are infexp_medium and BN_high",1.0
87,"Among all trans_low records, minority are infexp_high and BN_low",1.0
88,"Among all trans_low records, minority are infexp_high and BN_medium",1.0
89,"Among all trans_low records, minority are infexp_high and BN_high",1.0
90,"Among all trans_medium records, minority are infexp_high and BN_low",1.0
91,"Among all trans_medium records, minority are infexp_high and BN_medium",1.0
92,"Among all trans_medium records, minority are infexp_high and BN_high",1.0
93,"Among all trans_high records, minority are infexp_high and BN_low",1.0
94,"Among all trans_high records, minority are infexp_high and BN_medium",1.0
95,"Among all trans_high records, minority are infexp_high and BN_high",1.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
0,"Among all records, most are infexp0_low",0.07793932645447615
1,"Among all records, most are trans_low",0.24187631027253675
2,"Among all records, most are BN_low",0.20747310263792954
3,"Among all records, most are BN_low and infexp0_low",0.0
4,"Among all records, most are trans_low and infexp0_low",0.0
5,"Among all records, most are infexp0_medium",0.0
6,"Among all records, most are trans_medium",0.0
7,"Among all records, most are BN_medium",0.0
8,"Among all records, most are BN_medium and infexp0_medium",0.0
9,"Among all records, most are trans_medium and infexp0_medium",0.0
10,"Among all records, most are infexp0_high",0.5709233755334938
11,"Among all records, most are trans_high",0.15670859538784068
12,"Among all records, most are BN_high",0.16875757433655675
13,"Among all records, most are BN_high and infexp0_high",0.0
14,"Among all records, most are trans_high and infexp0_high",0.0
15,"Among all trans_low records, most are infexp0_low",0.21159253769843112
16,"Among all trans_low records, most are infexp0_medium",0.0
17,"Among all trans_low records, most are infexp0_high",0.3841618184953174
18,"Among all trans_low records, most are BN_low",0.23586108467044817
19,"Among all trans_low records, most are BN_medium",0.0
20,"Among all trans_low records, most are BN_high",0.18599939723366657
21,"Among all trans_medium records, most are infexp0_low",0.14248404937376113
22,"Among all trans_medium records, most are infexp0_medium",0.0
23,"Among all trans_medium records, most are infexp0_high",0.7088395048323364
24,"Among all trans_medium records, most are BN_low",0.2853114577033668
25,"Among all trans_medium records, most are BN_medium",0.0
26,"Among all trans_medium records, most are BN_high",0.10459256352791312
27,"Among all trans_high records, most are infexp0_low",0.0
28,"Among all trans_high records, most are infexp0_medium",0.0
29,"Among all trans_high records, most are infexp0_high",0.6812789463628537
30,"Among all trans_high records, most are BN_low",0.1749934725514653
31,"Among all trans_high records, most are BN_medium",0.0
32,"Among all trans_high records, most are BN_high",0.17407589998675563
33,"Among all infexp0_low records, most are trans_low",0.40199366403133185
34,"Among all infexp0_low records, most are trans_medium",0.0
35,"Among all infexp0_low records, most are trans_high",0.005571058382496941
36,"Among all infexp0_low records, most are BN_low",0.39907266420108534
37,"Among all infexp0_low records, most are BN_medium",0.0
38,"Among all infexp0_low records, most are BN_high",0.08368394138750318
39,"Among all infexp0_medium records, most are trans_low",0.4215135370592877
40,"Among all infexp0_medium records, most are trans_medium",0.0
41,"Among all infexp0_medium records, most are trans_high",0.2281119071756463
42,"Among all infexp0_medium records, most are BN_low",0.056499335967441784
43,"Among all infexp0_medium records, most are BN_medium",0.03246643549688566
44,"Among all infexp0_medium records, most are BN_high",0.5262806367806763
45,"Among all infexp0_high records, most are trans_low",0.10163777143907567
46,"Among all infexp0_high records, most are trans_medium",0.0
47,"Among all infexp0_high records, most are trans_high",0.2324588973911647
48,"Among all infexp0_high records, most are BN_low",0.17013575455352747
49,"Among all infexp0_high records, most are BN_medium",0.0
50,"Among all infexp0_high records, most are BN_high",0.18418334514147708
51,"Among all BN_low records, most are trans_low",0.2712843080501469
52,"Among all BN_low records, most are trans_medium",0.0
53,"Among all BN_low records, most are trans_high",0.12595101097812908
54,"Among all BN_low records, most are infexp0_low",0.24361793561072684
55,"Among all BN_low records, most are infexp0_medium",0.0
56,"Among all BN_low records, most are infexp0_high",0.5194130242460928
57,"Among all BN_medium records, most are trans_low",0.18178583156296976
58,"Among all BN_medium records, most are trans_medium",0.0
59,"Among all BN_medium records, most are trans_high",0.20018201092922797
60,"Among all BN_medium records, most are infexp0_low",0.04904844022393635
61,"Among all BN_medium records, most are infexp0_medium",0.0
62,"Among all BN_medium records, most are infexp0_high",0.7207772401401399
63,"Among all BN_high records, most are trans_low",0.2604903126549466
64,"Among all BN_high records, most are trans_medium",0.0
65,"Among all BN_high records, most are trans_high",0.16195717424564118
66,"Among all BN_high records, most are infexp0_low",0.0012751352354409273
67,"Among all BN_high records, most are infexp0_medium",0.0
68,"Among all BN_high records, most are infexp0_high",0.5931014362221964
69,"Among all trans_low records, most are infexp0_low and BN_low",0.0
70,"Among all trans_low records, most are infexp0_low and BN_medium",0.0
71,"Among all trans_low records, most are infexp0_low and BN_high",0.0
72,"Among all trans_medium records, most are infexp0_low and BN_low",0.0
73,"Among all trans_medium records, most are infexp0_low and BN_medium",0.0
74,"Among all trans_medium records, most are infexp0_low and BN_high",0.0
75,"Among all trans_high records, most are infexp0_low and BN_low",0.0
76,"Among all trans_high records, most are infexp0_low and BN_medium",0.0
77,"Among all trans_high records, most are infexp0_low and BN_high",0.0
78,"Among all trans_low records, most are infexp0_medium and BN_low",0.0
79,"Among all trans_low records, most are infexp0_medium and BN_medium",0.0
80,"Among all trans_low records, most are infexp0_medium and BN_high",0.0
81,"Among all trans_medium records, most are infexp0_medium and BN_low",0.0
82,"Among all trans_medium records, most are infexp0_medium and BN_medium",0.0
83,"Among all trans_medium records, most are infexp0_medium and BN_high",0.0
84,"Among all trans_high records, most are infexp0_medium and BN_low",0.0
85,"Among all trans_high records, most are infexp0_medium and BN_medium",0.0
86,"Among all trans_high records, most are infexp0_medium and BN_high",0.0
87,"Among all trans_low records, most are infexp0_high and BN_low",0.0
88,"Among all trans_low records, most are infexp0_high and BN_medium",0.0
89,"Among all trans_low records, most are infexp0_high and BN_high",0.0
90,"Among all trans_medium records, most are infexp0_high and BN_low",0.0
91,"Among all trans_medium records, most are infexp0_high and BN_medium",0.0
92,"Among all trans_medium records, most are infexp0_high and BN_high",0.0
93,"Among all trans_high records, most are infexp0_high and BN_low",0.0
94,"Among all trans_high records, most are infexp0_high and BN_medium",0.0
95,"Among all trans_high records, most are infexp0_high and BN_high",0.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
0,"Among all records, minority are infexp0_low",0.8441213470910477
1,"Among all records, minority are trans_low",0.5162473794549266
2,"Among all records, minority are BN_low",0.585053794724141
3,"Among all records, minority are BN_low and infexp0_low",1.0
4,"Among all records, minority are trans_low and infexp0_low",1.0
5,"Among all records, minority are infexp0_medium",1.0
6,"Among all records, minority are trans_medium",1.0
7,"Among all records, minority are BN_medium",1.0
8,"Among all records, minority are BN_medium and infexp0_medium",1.0
9,"Among all records, minority are trans_medium and infexp0_medium",1.0
10,"Among all records, minority are infexp0_high",0.0
11,"Among all records, minority are trans_high",0.6865828092243187
12,"Among all records, minority are BN_high",0.6624848513268866
13,"Among all records, minority are BN_high and infexp0_high",1.0
14,"Among all records, minority are trans_high and infexp0_high",1.0
15,"Among all trans_low records, minority are infexp0_low",0.5768149246031379
16,"Among all trans_low records, minority are infexp0_medium",1.0
17,"Among all trans_low records, minority are infexp0_high",0.23167636300936545
18,"Among all trans_low records, minority are BN_low",0.5282778306591038
19,"Among all trans_low records, minority are BN_medium",1.0
20,"Among all trans_low records, minority are BN_high",0.6280012055326669
21,"Among all trans_medium records, minority are infexp0_low",0.7150319012524777
22,"Among all trans_medium records, minority are infexp0_medium",1.0
23,"Among all trans_medium records, minority are infexp0_high",0.0
24,"Among all trans_medium records, minority are BN_low",0.4293770845932665
25,"Among all trans_medium records, minority are BN_medium",1.0
26,"Among all trans_medium records, minority are BN_high",0.7908148729441737
27,"Among all trans_high records, minority are infexp0_low",1.0
28,"Among all trans_high records, minority are infexp0_medium",1.0
29,"Among all trans_high records, minority are infexp0_high",0.0
30,"Among all trans_high records, minority are BN_low",0.6500130548970695
31,"Among all trans_high records, minority are BN_medium",1.0
32,"Among all trans_high records, minority are BN_high",0.6518482000264889
33,"Among all infexp0_low records, minority are trans_low",0.19601267193733646
34,"Among all infexp0_low records, minority are trans_medium",1.0
35,"Among all infexp0_low records, minority are trans_high",0.9888578832350061
36,"Among all infexp0_low records, minority are BN_low",0.2018546715978295
37,"Among all infexp0_low records, minority are BN_medium",1.0
38,"Among all infexp0_low records, minority are BN_high",0.8326321172249936
39,"Among all infexp0_medium records, minority are trans_low",0.1569729258814248
40,"Among all infexp0_medium records, minority are trans_medium",1.0
41,"Among all infexp0_medium records, minority are trans_high",0.5437761856487076
42,"Among all infexp0_medium records, minority are BN_low",0.8870013280651164
43,"Among all infexp0_medium records, minority are BN_medium",0.9350671290062287
44,"Among all infexp0_medium records, minority are BN_high",0.0
45,"Among all infexp0_high records, minority are trans_low",0.7967244571218487
46,"Among all infexp0_high records, minority are trans_medium",1.0
47,"Among all infexp0_high records, minority are trans_high",0.5350822052176707
48,"Among all infexp0_high records, minority are BN_low",0.6597284908929452
49,"Among all infexp0_high records, minority are BN_medium",1.0
50,"Among all infexp0_high records, minority are BN_high",0.6316333097170459
51,"Among all BN_low records, minority are trans_low",0.4574313838997063
52,"Among all BN_low records, minority are trans_medium",1.0
53,"Among all BN_low records, minority are trans_high",0.7480979780437418
54,"Among all BN_low records, minority are infexp0_low",0.5127641287785465
55,"Among all BN_low records, minority are infexp0_medium",1.0
56,"Among all BN_low records, minority are infexp0_high",0.0
57,"Among all BN_medium records, minority are trans_low",0.6364283368740606
58,"Among all BN_medium records, minority are trans_medium",1.0
59,"Among all BN_medium records, minority are trans_high",0.5996359781415441
60,"Among all BN_medium records, minority are infexp0_low",0.9019031195521273
61,"Among all BN_medium records, minority are infexp0_medium",1.0
62,"Among all BN_medium records, minority are infexp0_high",0.0
63,"Among all BN_high records, minority are trans_low",0.47901937469010697
64,"Among all BN_high records, minority are trans_medium",1.0
65,"Among all BN_high records, minority are trans_high",0.6760856515087177
66,"Among all BN_high records, minority are infexp0_low",0.9974497295291181
67,"Among all BN_high records, minority are infexp0_medium",1.0
68,"Among all BN_high records, minority are infexp0_high",0.0
69,"Among all trans_low records, minority are infexp0_low and BN_low",1.0
70,"Among all trans_low records, minority are infexp0_low and BN_medium",1.0
71,"Among all trans_low records, minority are infexp0_low and BN_high",1.0
72,"Among all trans_medium records, minority are infexp0_low and BN_low",1.0
73,"Among all trans_medium records, minority are infexp0_low and BN_medium",1.0
74,"Among all trans_medium records, minority are infexp0_low and BN_high",1.0
75,"Among all trans_high records, minority are infexp0_low and BN_low",1.0
76,"Among all trans_high records, minority are infexp0_low and BN_medium",1.0
77,"Among all trans_high records, minority are infexp0_low and BN_high",1.0
78,"Among all trans_low records, minority are infexp0_medium and BN_low",1.0
79,"Among all trans_low records, minority are infexp0_medium and BN_medium",1.0
80,"Among all trans_low records, minority are infexp0_medium and BN_high",1.0
81,"Among all trans_medium records, minority are infexp0_medium and BN_low",1.0
82,"Among all trans_medium records, minority are infexp0_medium and BN_medium",1.0
83,"Among all trans_medium records, minority are infexp0_medium and BN_high",1.0
84,"Among all trans_high records, minority are infexp0_medium and BN_low",1.0
85,"Among all trans_high records, minority are infexp0_medium and BN_medium",1.0
86,"Among all trans_high records, minority are infexp0_medium and BN_high",1.0
87,"Among all trans_low records, minority are infexp0_high and BN_low",1.0
88,"Among all trans_low records, minority are infexp0_high and BN_medium",1.0
89,"Among all trans_low records, minority are infexp0_high and BN_high",1.0
90,"Among all trans_medium records, minority are infexp0_high and BN_low",1.0
91,"Among all trans_medium records, minority are infexp0_high and BN_medium",1.0
92,"Among all trans_medium records, minority are infexp0_high and BN_high",1.0
93,"Among all trans_high records, minority are infexp0_high and BN_low",1.0
94,"Among all trans_high records, minority are infexp0_high and BN_medium",1.0
95,"Among all trans_high records, minority are infexp0_high and BN_high",1.0
96,,0.0
97,,0.0
98,,0.0
99,,0.0
100,,0.0
101,,0.0
102,,0.0
103,,0.0
104,,0.0
105,,0.0
106,,0.0
107,,0.0
108,,0.0
109,,0.0
110,,0.0
111,,0.0
112,,0.0
113,,0.0
114,,0.0
115,,0.0
116,,0.0
117,,0.0
118,,0.0
119,,0.0
0,"Among all records, most are infexp1_low",0.1330052258328225
1,"Among all records, most are trans_low",0.24187631027253675
2,"Among all records, most are BN_low",0.20747310263792954
3,"Among all records, most are BN_low and infexp1_low",0.0
4,"Among all records, most are trans_low and infexp1_low",0.0
5,"Among all records, most are infexp1_medium",0.0
6,"Among all records, most are trans_medium",0.0
7,"Among all records, most are BN_medium",0.0
8,"Among all records, most are BN_medium and infexp1_medium",0.0
9,"Among all records, most are trans_medium and infexp1_medium",0.0
10,"Among all records, most are infexp1_high",0.5925414835088221
11,"Among all records, most are trans_high",0.15670859538784068
12,"Among all records, most are BN_high",0.16875757433655675
13,"Among all records, most are BN_high and infexp1_high",0.0
14,"Among all records, most are trans_high and infexp1_high",0.0
15,"Among all trans_low records, most are infexp1_low",0.2725979940863791
16,"Among all trans_low records, most are infexp1_medium",0.0
17,"Among all trans_low records, most are infexp1_high",0.3970076370660192
18,"Among all trans_low records, most are BN_low",0.23586108467044817
19,"Among all trans_low records, most are BN_medium",0.0
20,"Among all trans_low records, most are BN_high",0.18599939723366657
21,"Among all trans_medium records, most are infexp1_low",0.11696059450999192
22,"Among all trans_medium records, most are infexp1_medium",0.0
23,"Among all trans_medium records, most are infexp1_high",0.7462497074773032
24,"Among all trans_medium records, most are BN_low",0.2853114577033668
25,"Among all trans_medium records, most are BN_medium",0.0
26,"Among all trans_medium records, most are BN_high",0.10459256352791312
27,"Among all trans_high records, most are infexp1_low",0.05578386425380375
28,"Among all trans_high records, most are infexp1_medium",0.0
29,"Among all trans_high records, most are infexp1_high",0.700127957030207
30,"Among all trans_high records, most are BN_low",0.1749934725514653
31,"Among all trans_high records, most are BN_medium",0.0
32,"Among all trans_high records, most are BN_high",0.17407589998675563
33,"Among all infexp1_low records, most are trans_low",0.3986803198812874
34,"Among all infexp1_low records, most are trans_medium",0.0
35,"Among all infexp1_low records, most are trans_high",0.07741430556615747
36,"Among all infexp1_low records, most are BN_low",0.3154166989496503
37,"Among all infexp1_low records, most are BN_medium",0.0
38,"Among all infexp1_low records, most are BN_high",0.1658854828898984
39,"Among all infexp1_medium records, most are trans_low",0.4565325806559495
40,"Among all infexp1_medium records, most are trans_medium",0.0
41,"Among all infexp1_medium records, most are trans_high",0.056391678319683426
42,"Among all infexp1_medium records, most are BN_low",0.11547407387608664
43,"Among all infexp1_medium records, most are BN_medium",0.1829651893160288
44,"Among all infexp1_medium records, most are BN_high",0.390504234474976
45,"Among all infexp1_high records, most are trans_low",0.0974149341993036
46,"Among all infexp1_high records, most are trans_medium",0.0
47,"Among all infexp1_high records, most are trans_high",0.2293689798061706
48,"Among all infexp1_high records, most are BN_low",0.2046607325608474
49,"Among all infexp1_high records, most are BN_medium",0.0
50,"Among all infexp1_high records, most are BN_high",0.16883580432855153
51,"Among all BN_low records, most are trans_low",0.2712843080501469
52,"Among all BN_low records, most are trans_medium",0.0
53,"Among all BN_low records, most are trans_high",0.12595101097812908
54,"Among all BN_low records, most are infexp1_low",0.23255346314187786
55,"Among all BN_low records, most are infexp1_medium",0.0
56,"Among all BN_low records, most are infexp1_high",0.5885980583775479
57,"Among all BN_medium records, most are trans_low",0.18178583156296976
58,"Among all BN_medium records, most are trans_medium",0.0
59,"Among all BN_medium records, most are trans_high",0.20018201092922797
60,"Among all BN_medium records, most are infexp1_low",0.08598451878035875
61,"Among all BN_medium records, most are infexp1_medium",0.0
62,"Among all BN_medium records, most are infexp1_high",0.7025722406355697
63,"Among all BN_high records, most are trans_low",0.2604903126549466
64,"Among all BN_high records, most are trans_medium",0.0
65,"Among all BN_high records, most are trans_high",0.16195717424564118
66,"Among all BN_high records, most are infexp1_low",0.1302448983783247
67,"Among all BN_high records, most are infexp1_medium",0.0
68,"Among all BN_high records, most are infexp1_high",0.5926557976787854
69,"Among all trans_low records, most are infexp1_low and BN_low",0.0
70,"Among all trans_low records, most are infexp1_low and BN_medium",0.0
71,"Among all trans_low records, most are infexp1_low and BN_high",0.0
72,"Among all trans_medium records, most are infexp1_low and BN_low",0.0
73,"Among all trans_medium records, most are infexp1_low and BN_medium",0.0
74,"Among all trans_medium records, most are infexp1_low and BN_high",0.0
75,"Among all trans_high records, most are infexp1_low and BN_low",0.0
76,"Among all trans_high records, most are infexp1_low and BN_medium",0.0
77,"Among all trans_high records, most are infexp1_low and BN_high",0.0
78,"Among all trans_low records, most are infexp1_medium and BN_low",0.0
79,"Among all trans_low records, most are infexp1_medium and BN_medium",0.0
80,"Among all trans_low records, most are infexp1_medium and BN_high",0.0
81,"Among all trans_medium records, most are infexp1_medium and BN_low",0.0
